# ANNOTATION_RELATION rows for the VALIDATED INHERITED cell type -> structure claims.
# NOT asserted by CL on the class: entailed from an is_a ancestor (VIA), then confirmed
# accurate AND restricted by claude-sonnet-5. A WEAKER claim than the asserted rows on
# prod -- give it its own SOURCE, do not merge it into 'CL'.
# Rows whose target is a whole-body anatomical system are excluded as tautologies.
# PREDICATE is the one the ANCESTOR actually asserts, looked up per row; NOT always 'part of'.
# script: scripts/validate_celltype_tissue_map.py  model: claude-sonnet-5
SUBJECT_VALUE	SUBJECT_VALUE_URI	PREDICATE	PREDICATE_URI	OBJECT_VALUE	OBJECT_VALUE_URI	VIA	N_DATASETS
L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	178
sncg GABAergic interneuron	http://purl.obolibrary.org/obo/CL_4023015	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	173
lamp5 GABAergic interneuron	http://purl.obolibrary.org/obo/CL_4023011	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	164
corticothalamic-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023013	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	147
near-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023012	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	124
cardiac muscle cell	http://purl.obolibrary.org/obo/CL_0000746	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	63
pvalb chandelier GABAergic interneuron	http://purl.obolibrary.org/obo/CL_4023036	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	35
L6 intratelencephalic projecting Car3 glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4030068	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer VI	http://purl.obolibrary.org/obo/UBERON_0005395	L6 intratelencephalic projecting glutamatergic neuron	33
skeletal muscle satellite cell	http://purl.obolibrary.org/obo/CL_0000594	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	24
cerebellar granule cell	http://purl.obolibrary.org/obo/CL_0001031	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	23
DN3 thymocyte	http://purl.obolibrary.org/obo/CL_0000807	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	15
astrocyte of the cerebral cortex	http://purl.obolibrary.org/obo/CL_0002605	part of	http://purl.obolibrary.org/obo/BFO_0000050	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex glial cell	15
Sertoli cell	http://purl.obolibrary.org/obo/CL_0000216	part of	http://purl.obolibrary.org/obo/BFO_0000050	seminiferous tubule epithelium	http://purl.obolibrary.org/obo/UBERON_0004813	seminiferous tubule epithelial cell	14
cerebral cortex pyramidal neuron	http://purl.obolibrary.org/obo/CL_4023111	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	14
retinal rod cell	http://purl.obolibrary.org/obo/CL_0000604	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	13
cortical interneuron	http://purl.obolibrary.org/obo/CL_0008031	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	12
CD4-positive, alpha-beta thymocyte	http://purl.obolibrary.org/obo/CL_0000810	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	10
double-positive, alpha-beta thymocyte	http://purl.obolibrary.org/obo/CL_0000809	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	10
pulmonary alveolar type 2 cell	http://purl.obolibrary.org/obo/CL_0002063	part of	http://purl.obolibrary.org/obo/BFO_0000050	pulmonary alveolus epithelium	http://purl.obolibrary.org/obo/UBERON_0004821	pulmonary alveolar epithelial cell	10
DN2 thymocyte	http://purl.obolibrary.org/obo/CL_0000806	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	9
PAX6 GABAergic interneuron	http://purl.obolibrary.org/obo/CL_4042032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	8
multi-potent skeletal muscle stem cell	http://purl.obolibrary.org/obo/CL_0000355	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	8
retinal cone cell	http://purl.obolibrary.org/obo/CL_0000573	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	8
skeletal muscle satellite stem cell	http://purl.obolibrary.org/obo/CL_0008011	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	8
double negative thymocyte	http://purl.obolibrary.org/obo/CL_0002489	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	7
CD4-positive, CD8-intermediate double-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002431	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	6
CD8-positive, alpha-beta thymocyte	http://purl.obolibrary.org/obo/CL_0000811	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	6
DN4 thymocyte	http://purl.obolibrary.org/obo/CL_0000808	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	6
fetal cardiomyocyte	http://purl.obolibrary.org/obo/CL_0002495	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	6
myelinating Schwann cell	http://purl.obolibrary.org/obo/CL_0000218	part of	http://purl.obolibrary.org/obo/BFO_0000050	peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	Schwann cell	5
CD8-alpha-positive thymic conventional dendritic cell	http://purl.obolibrary.org/obo/CL_0002059	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymic conventional dendritic cell	4
cerebellar basket cell	http://purl.obolibrary.org/obo/CL_2000027	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	4
